objid,n_sources,grade,thetaE,thetaE_err,mag_g,mag_r,mag_i,mag_z,g_exp_time,g_mag_zero,r_exp_time,r_mag_zero,i_exp_time,i_mag_zero,z_exp_time,z_mag_zero
10870200100679.0,1,C,2.748022847401464,0.3806518825625384,21.006159,19.332859,18.744806,18.502394,240.0,32.554005,30.0,30.465796,120.0,31.9348,78.0,31.174221
10766200135193.0,2,B,4.317671318508959,0.403514745824283,18.575064,17.541563,17.230186,17.129429000000002,90.0,31.415913,62.0,31.233093,90.0,31.686989,150.0,31.680948
10806300008425.0,2,C,2.482116986795033,0.313893567580798,21.408203,21.184109,20.965012,20.757244,180.0,32.169178,30.0,30.479034,180.0,32.371223,80.0,31.267834
10715500122510.0,1,A,2.3945783070732816,0.355976983366986,20.25544,19.026045,18.605833,18.333754000000003,90.0,31.381317,90.0,31.682934,90.0,31.656815,77.0,31.16042
10640800012700.0,1,C,1.846104139687796,0.3216528640409163,20.602001,19.475048,18.809006,18.628494,250.0,32.584457,170.0,32.421577,250.0,32.77748,240.0,32.280922
10678600072995.0,1,B,3.2291705260181702,0.4167193094410729,19.459625,18.476707,18.16156,17.896484,123.0,31.689384,175.0,31.576448,110.0,31.808033,80.0,31.3004
11011500193927.0,1,C,2.4955945432000664,0.3628491163562335,19.44077,18.505123,18.09779,17.825426,90.0,31.497059,85.0,31.67758,150.0,32.247585,240.0,32.478794
10844900015323.0,4,A,3.901768099096461,1.0658090890300391,21.25904,19.516628,18.429749,18.02953,90.0,31.570145,30.0,30.5859,90.0,31.668715,50.0,30.729443
10793400113870.0,1,C,1.6170695723797808,0.3090771748595571,19.871609,19.184288,18.706736,18.49768,90.0,31.565876,30.0,30.48614,90.0,31.660332,50.0,30.753666
10794400147159.0,2,C,4.962855152307906,0.3039639684421779,21.338045,21.12767,20.727318,21.022547,90.0,31.58008,50.0,31.149958,90.0,31.633045,121.0,31.780075
10806800111505.0,1,C,4.182665984307405,0.4942939483372443,19.625055,18.514242000000003,18.159956,17.83176,90.0,31.566353,41.0,30.83092,90.0,31.665455,56.0,30.83664
10689300132913.0,1,C,1.9489394287543644,0.3276632554460965,21.694115,19.970518,19.335285,18.746002,96.0,31.401836,70.0,31.421999,90.0,31.66211,250.0,32.37373
10832300031667.0,1,C,2.063047723560788,0.3345761783165284,20.529696,19.11155,18.61998,18.221458,90.0,31.530022,31.0,30.513636,90.0,31.681911,123.0,31.796562
10857200141819.0,2,C,1.919681622114785,0.27669744380406,21.732521,20.995918,20.30077,20.160297,90.0,31.551004,30.0,30.511005,90.0,31.635462,65.0,31.01273
10769800092295.0,1,B,1.4925862033121335,0.3027502200547132,20.639286,19.884504,19.704426,19.41867,90.0,31.576931,43.0,30.918936,117.0,31.923811,94.0,31.412579
10614900006873.0,1,B,2.318222420942158,0.350886180875778,20.508991,19.123306,18.993683,18.372196,157.0,31.987968,56.0,31.06997,90.0,31.651312,120.0,31.662506
10704100052564.0,1,B,2.0656428200817145,0.3347362582714209,21.376436,20.015156,19.231176,18.925772,191.0,32.00077,40.0,30.697975,90.0,31.64367,117.0,31.62921
10704100025613.0,1,C,3.4852308161463963,0.4368614178640232,20.956547,19.89398,19.609837,19.283606,125.0,31.739067,40.0,30.704655,90.0,31.657818,119.0,31.638699
10690800034845.0,1,C,2.236623868142204,0.3455494512735246,21.34355,20.46212,19.984234,19.698479000000003,138.0,31.961079,40.0,30.804577,160.0,32.2573,117.0,31.570234
10625900022181.0,1,C,2.4317300515498137,0.3584866391319272,20.230333,19.129538,18.759148,18.447157,151.0,31.878304,86.0,31.57037,80.0,31.51984,80.0,31.164192
10729300149909.0,2,A,4.579786425719462,0.2815726079485977,20.228073,18.675934,18.145706,17.805046,90.0,31.574768,30.0,30.45434,210.0,32.581707,56.0,30.837101
10727900057634.0,2,C,3.546677844159136,0.2841277121046671,21.852562,20.777882,20.227818,20.362356,90.0,31.40823,65.0,31.289165,90.0,31.682167,60.0,30.852453
10897200239637.0,1,C,1.849588632845533,0.321852980578888,21.204285,20.375349,20.134417000000003,19.641796,90.0,31.565845,100.0,31.809893,90.0,31.661177,128.0,31.820883
